what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1386157000255
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1386157001728
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1386157010957
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1386157051099
activated,view,org.eclipse.ui.ide,3.4.1.M20080903-2000,org.eclipse.ui.views.ResourceNavigator,1386157054692
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1386157063855
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1386157720001
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1386157720496
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1386157721756
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1386157730071
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1386158534737
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1386158536372
activated,view,org.eclipse.ui.ide,3.4.1.M20080903-2000,org.eclipse.ui.views.ResourceNavigator,1386158537605
closed,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1386158537608
closed,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1386158537628
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1386158540951
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1386158542626
started,bundle,org.eclipse.mylyn.ide.ant,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.ide.ant,1386158543363
started,bundle,org.eclipse.mylyn.pde.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.pde.ui,1386158543472
started,bundle,org.eclipse.mylyn.resources.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.resources.ui,1386158543516
closed,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1386158543832
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.102.v200805140135,org.eclipse.jst.j2ee.xdoclet.runtime,1386158544959
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.0.v200805140020,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1386158544981
stopped,bundle,org.eclipse.jst.server.generic.jboss,1.5.205.v200805140145,org.eclipse.jst.server.generic.jboss,1386158545013
stopped,bundle,org.eclipse.jst.server.generic.jonas,1.5.205.v200805140145,org.eclipse.jst.server.generic.jonas,1386158545046
