what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1386151447277
activated,view,org.eclipse.ui.ide,3.4.1.M20080903-2000,org.eclipse.ui.views.ResourceNavigator,1386151532210
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1386151538659
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1386151539636
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1386151793336
activated,view,org.eclipse.search,3.4.1.r341_v20080813-0800,org.eclipse.search.ui.views.SearchView,1386151794803
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1386151795626
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1386151797375
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1386151807911
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1386151814223
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1386151820429
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1386151915369
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PropertiesFileEditor,1386151917781
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1386151925914
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1386151927518
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1386151930583
executed,command,org.eclipse.jdt.debug.ui,3.3.1.v20080730_r341,org.eclipse.jdt.debug.ui.localJavaShortcut.run,1386151933996
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1386151942004
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1386151968844
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1386151971762
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1386151976859
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1386152017138
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1386152019537
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1386152021916
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1386152022973
