what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1386153530571
closed,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PropertiesFileEditor,1386153530584
activated,view,org.eclipse.ui.ide,3.4.1.M20080903-2000,org.eclipse.ui.views.ResourceNavigator,1386153535524
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PropertiesFileEditor,1386153535672
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1386153540461
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1386153544292
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1386153547856
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1386153549157
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1386153584614
executed,command,org.eclipse.jdt.debug.ui,3.3.1.v20080730_r341,org.eclipse.jdt.debug.ui.localJavaShortcut.run,1386153588484
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1386153593969
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1386153612622
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1386153743450
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1386153753369
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1386154231746
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1386154233752
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1386154234987
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1386154255491
closed,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1386154255501
closed,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PropertiesFileEditor,1386154255580
closed,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1386154255591
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1386154258531
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1386154260312
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1386154262394
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1386154263868
